City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
363,manay,7.215,126.5397,29.55,72,100,4.31,PH,1695349650
364,saint-philippe,-21.3585,55.7679,21.77,83,36,4.55,RE,1695349185
365,mossel bay,-34.1831,22.146,13.96,86,100,3.39,ZA,1695349651
366,saipan,15.1355,145.701,29.39,84,75,6.17,MP,1695349651
367,copiapo,-27.3667,-70.3333,11.83,36,22,0.53,CL,1695349168
368,savannah,32.0835,-81.0998,23.98,88,0,4.63,US,1695349162
369,toktogul,41.8708,72.9402,12.66,72,41,1.31,KG,1695349652
370,alushta,44.6667,34.4167,18.37,57,9,0.68,UA,1695349653
371,luanda,-8.8368,13.2343,22.0,88,75,3.09,AO,1695349653
372,sur,22.5667,59.5289,29.57,61,100,1.51,OM,1695349654
373,kurumkan,54.3,110.3,12.42,54,5,0.89,RU,1695349654
374,kimbe,-5.5502,150.1429,24.97,94,100,2.76,PG,1695349654
375,lib,8.3122,167.3766,28.43,76,99,3.88,MH,1695349655
376,amursk,50.2261,136.8994,9.54,85,100,3.41,RU,1695349655
377,motueka,-41.1333,173.0167,15.61,84,99,3.75,NZ,1695349656
378,kasama,-10.2129,31.1808,16.75,58,70,1.59,ZM,1695349656
379,nar'yan-mar,67.6713,53.087,3.84,82,11,7.17,RU,1695349657
380,likhoslavl',57.1275,35.464,12.5,96,4,1.96,RU,1695349657
381,woolgoolga,-30.1106,153.2007,20.93,51,97,7.8,AU,1695349658
382,pacific grove,36.6177,-121.9166,17.82,82,0,5.66,US,1695349658
383,xai-xai,-25.0519,33.6442,20.84,75,0,3.58,MZ,1695349658
384,mont-dore,-22.2833,166.5833,26.67,99,12,1.75,NC,1695349659
385,north ward,-19.2454,146.8075,28.95,58,0,6.17,AU,1695349660
386,kitimat,54.0524,-128.6534,15.38,89,93,1.79,CA,1695349409
387,novodvinsk,64.4165,40.8122,7.04,91,100,2.53,RU,1695349660
388,laojunmiao,39.8333,97.7333,14.51,31,28,9.75,CN,1695349661
389,qobustan,40.0824,49.412,20.5,69,0,0.65,AZ,1695349661
390,ruma,45.0081,19.8222,19.9,70,5,2.54,RS,1695349662
391,sint michiel liber,12.15,-68.9833,29.9,79,20,5.66,CW,1695349662
392,kuala lipis,4.1842,102.0468,26.17,89,100,0.02,MY,1695349663
393,pathein,16.7833,94.7333,28.21,83,48,2.28,MM,1695349663
394,nagqu,31.5,92.0,6.14,76,56,3.67,CN,1695349663
395,north battleford,52.7834,-108.2847,12.05,47,0,3.09,CA,1695349664
396,oranjemund,-28.55,16.4333,12.48,87,0,2.86,NA,1695349664
397,farasan,16.7022,42.1183,30.76,81,39,3.02,SA,1695349665
398,vicencia,-7.6569,-35.3267,21.14,88,32,2.59,BR,1695349665
399,saranac lake,44.3295,-74.1313,8.95,93,0,0.0,US,1695349666
400,tlapa de comonfort,17.55,-98.55,21.37,86,0,1.77,MX,1695349666
401,kerikeri,-35.2268,173.9474,16.59,84,88,4.53,NZ,1695349667
402,sovetskaya gavan',48.9723,140.2878,17.88,46,95,2.15,RU,1695349667
403,afaahiti,-17.75,-149.2833,23.93,80,96,4.01,PF,1695349667
404,camocim,-2.9022,-40.8411,26.0,72,1,7.13,BR,1695349668
405,labrador city,52.9463,-66.9114,0.95,93,0,1.54,CA,1695349668
406,neyriz,29.1988,54.3278,22.12,23,5,1.85,IR,1695349669
407,napier,-39.4833,176.9167,22.38,43,0,4.47,NZ,1695349669
408,queenstown,-31.8976,26.8753,9.75,59,0,0.78,ZA,1695349670
409,alofi,-19.0595,-169.9187,21.94,83,75,6.69,NU,1695349671
410,whakatane,-37.9585,176.9854,18.82,75,82,4.18,NZ,1695349672
411,selkirk,50.1436,-96.8845,14.04,84,100,3.24,CA,1695349672
412,hamilton,39.1834,-84.5333,22.77,72,0,1.54,US,1695348997
413,stephenville,32.2207,-98.2023,30.14,60,0,2.57,US,1695349530
414,kailua-kona,19.6406,-155.9956,28.06,71,75,4.63,US,1695349673
415,al jawf,29.5,38.75,23.66,32,0,2.88,SA,1695349674
416,minas de marcona,-15.2119,-75.1103,13.14,86,35,5.05,PE,1695349674
417,palikir - national government center,6.9248,158.1611,30.47,74,100,6.69,FM,1695349649
418,kenai,60.5544,-151.2583,11.19,70,0,4.12,US,1695349675
419,vila do maio,15.1333,-23.2167,27.44,86,80,3.49,CV,1695349675
420,mejit,10.2753,170.8646,28.57,75,73,4.52,MH,1695349676
421,brezina,33.0989,1.2608,24.19,44,0,2.6,DZ,1695349676
422,chitipa,-9.7024,33.2697,16.7,72,38,2.16,MW,1695349677
423,bairnsdale,-37.8333,147.6167,16.7,46,4,0.89,AU,1695349677
424,vadso,70.0744,29.7487,4.09,81,100,5.66,NO,1695349678
425,guerrero negro,27.9769,-114.0611,20.28,72,7,6.86,MX,1695349678
426,ribeira brava,32.65,-17.0667,23.35,78,20,2.49,PT,1695349107
427,kasba,25.85,87.55,24.24,95,100,6.5,IN,1695349391
428,buenaventura,3.8801,-77.0312,25.64,91,100,0.65,CO,1695349679
429,colotlan,22.1,-103.2667,23.85,33,74,1.12,MX,1695349679
430,ust-tsilma,65.441,52.1498,3.61,95,75,3.91,RU,1695349680
431,tshabong,-26.05,22.45,16.06,14,0,4.52,BW,1695349680
432,usogorsk,63.4106,48.6872,4.02,89,99,1.37,RU,1695349681
433,bridgewater,44.3835,-64.5155,12.82,83,0,2.06,CA,1695349044
434,patti,31.2808,74.8572,27.59,69,0,1.69,IN,1695349681
435,thai binh,20.45,106.3333,30.19,70,28,0.55,VN,1695349682
436,freetown,8.484,-13.2299,25.63,86,100,2.78,SL,1695349682
437,ebon,4.582,168.6964,28.57,76,91,3.9,MH,1695349683
438,manokwari,-0.8667,134.0833,27.99,72,88,1.74,ID,1695349683
439,jwaneng,-24.6004,24.7303,18.68,8,0,4.25,BW,1695349683
440,dongcun,36.7767,121.1597,23.1,54,0,2.48,CN,1695349684
441,beyneu,45.3167,55.2,16.79,49,0,1.97,KZ,1695349684
442,sisimiut,66.9395,-53.6735,1.08,63,0,3.04,GL,1695349685
443,amungan,15.3652,119.9582,29.85,74,88,2.21,PH,1695349685
444,wotje,9.4543,170.2367,29.0,70,45,4.17,MH,1695349685
445,malango,-2.9627,119.9001,26.57,57,52,2.01,ID,1695349686
446,sittwe,20.15,92.9,27.35,85,82,2.97,MM,1695349686
447,namtsy,62.7161,129.6658,3.19,92,100,3.24,RU,1695349687
448,vega de alatorre,20.0333,-96.6333,28.07,79,0,3.13,MX,1695349687
449,darab,28.7519,54.5444,26.37,21,3,1.93,IR,1695349688
450,igunga,-4.2833,33.8833,22.3,53,90,2.26,TZ,1695349688
451,fortaleza,-3.7227,-38.5247,27.34,78,75,7.72,BR,1695349689
452,krasnaya gora,52.9995,31.6023,15.15,55,93,3.93,RU,1695349689
453,crnici,43.1289,17.8667,17.88,94,75,0.51,BA,1695349690
454,lobujya,27.95,86.8167,2.37,94,100,1.04,NP,1695349690
455,popondetta,-8.7537,148.2534,29.16,74,68,1.74,PG,1695349690
456,gao,16.6362,1.637,32.54,33,8,2.61,ML,1695349691
457,tumaco,1.7986,-78.8156,26.13,84,79,2.48,CO,1695349691
458,el sauce,12.8869,-86.539,25.46,76,92,1.82,NI,1695349692
459,phan thiet,10.9333,108.1,29.74,66,68,2.07,VN,1695349642
460,ibi,38.6253,-0.5723,21.07,66,100,3.94,ES,1695349693
461,bagan,54.1001,77.6646,10.87,64,36,4.62,RU,1695349693
462,san pedro pochutla,15.7333,-96.4667,25.57,85,36,1.71,MX,1695349517
463,nizhnedevitsk,51.5419,38.3657,14.02,48,36,2.59,RU,1695349694
464,castel di sangro,41.7737,14.1035,18.79,95,100,3.07,IT,1695349694
465,tchintabaraden,15.8969,5.7985,33.04,23,67,1.83,NE,1695349695
466,camarinas,43.1311,-9.1817,17.18,79,32,6.4,ES,1695349695
467,wanning,18.8003,110.3967,30.37,65,8,1.15,CN,1695349696
468,andrelandia,-21.7397,-44.3092,17.69,57,0,1.35,BR,1695349696
469,belyye berega,53.2085,34.6641,12.12,60,9,2.3,RU,1695349697
470,naze,28.3667,129.4833,28.51,79,64,0.89,JP,1695349697
471,arraial do cabo,-22.9661,-42.0278,21.05,88,0,12.25,BR,1695349697
472,fukuecho,32.6881,128.8419,25.2,83,75,3.09,JP,1695349698
473,sitka,57.0531,-135.33,11.94,94,100,1.54,US,1695349698
474,makokou,0.5738,12.8642,20.89,99,100,1.06,GA,1695349699
475,mbuji-mayi,-6.15,23.6,22.35,75,100,0.86,CD,1695349699
476,sosnovo-ozerskoye,52.5249,111.5418,11.51,52,6,4.66,RU,1695349700
477,severo-yeniseyskiy,60.3725,93.0408,9.34,75,31,6.27,RU,1695349700
478,astrakhan,46.3497,48.0408,10.93,87,0,4.0,RU,1695349701
479,esmeraldas,-19.7625,-44.3139,21.52,55,2,3.21,BR,1695349701
480,greymouth,-42.4667,171.2,12.63,95,100,5.05,NZ,1695349702
481,dunedin,-45.8742,170.5036,6.05,88,100,1.89,NZ,1695349702
482,makueni boma,-1.8041,37.6203,17.88,81,100,2.48,KE,1695349703
483,sinop,41.7711,34.8709,14.9,80,96,2.11,TR,1695349703
484,amurzet,47.6967,131.0981,14.48,43,1,7.69,RU,1695349704
485,xilin hot,43.9667,116.0333,14.89,42,5,2.72,CN,1695349704
486,hilsa,25.3167,85.2833,27.96,92,100,6.06,IN,1695349705
487,rongelap,11.1635,166.8941,28.72,72,100,4.83,MH,1695349705
488,yadrin,55.9405,46.2062,14.82,66,87,1.79,RU,1695349706
